program,fuzzer,seed,version,branches
cxxfilt,afl-1.94b,invalid,binutils2.26,47.2
cxxfilt,afl-2.40b,invalid,binutils2.26,49.1
cxxfilt,afl-2.49b,invalid,binutils2.26,49.1
cxxfilt,afl-2.51b,invalid,binutils2.26,49.1
cxxfilt,afl-2.52b,invalid,binutils2.26,49.1
cxxfilt,afl-rb,invalid,binutils2.26,47.2
cxxfilt,aflfast,invalid,binutils2.26,49.1
cxxfilt,aflgo,invalid,binutils2.26,49.1
nm,afl-1.94b,invalid,binutils2.26,18.9
nm,afl-2.40b,invalid,binutils2.26,16.8
nm,afl-2.49b,invalid,binutils2.26,17
nm,afl-2.51b,invalid,binutils2.26,17.5
nm,afl-2.52b,invalid,binutils2.26,17.5
nm,afl-rb,invalid,binutils2.26,17.5
nm,aflfast,invalid,binutils2.26,17.5
nm,aflgo,invalid,binutils2.26,17.5
objdump,afl-1.94b,invalid,binutils2.26,19.6
objdump,afl-2.40b,invalid,binutils2.26,15.1
objdump,afl-2.49b,invalid,binutils2.26,25.8
objdump,afl-2.51b,invalid,binutils2.26,23.2
objdump,afl-2.52b,invalid,binutils2.26,22.2
objdump,afl-rb,invalid,binutils2.26,27.1
objdump,aflfast,invalid,binutils2.26,27.1
objdump,aflgo,invalid,binutils2.26,27.1
readelf,afl-1.94b,invalid,binutils2.26,1.4
readelf,afl-2.40b,invalid,binutils2.26,1.5
readelf,afl-2.49b,invalid,binutils2.26,1.5
readelf,afl-2.51b,invalid,binutils2.26,1.5
readelf,afl-2.52b,invalid,binutils2.26,1.5
readelf,afl-rb,invalid,binutils2.26,1.5
readelf,aflfast,invalid,binutils2.26,1.4
readelf,aflgo,invalid,binutils2.26,1.5
size,afl-1.94b,invalid,binutils2.26,24.5
size,afl-2.40b,invalid,binutils2.26,24.5
size,afl-2.49b,invalid,binutils2.26,24.5
size,afl-2.51b,invalid,binutils2.26,23.1
size,afl-2.52b,invalid,binutils2.26,23.1
size,afl-rb,invalid,binutils2.26,24.5
size,aflfast,invalid,binutils2.26,24.5
size,aflgo,invalid,binutils2.26,24.5
strings,afl-1.94b,invalid,binutils2.26,31.7
strings,afl-2.40b,invalid,binutils2.26,31.7
strings,afl-2.49b,invalid,binutils2.26,31.7
strings,afl-2.51b,invalid,binutils2.26,31.7
strings,afl-2.52b,invalid,binutils2.26,31.7
strings,afl-rb,invalid,binutils2.26,31.7
strings,aflfast,invalid,binutils2.26,31.7
strings,aflgo,invalid,binutils2.26,31.7
cxxfilt,afl-1.94b,invalid,binutils2.28,47.2
cxxfilt,afl-2.40b,invalid,binutils2.28,47.2
cxxfilt,afl-2.49b,invalid,binutils2.28,49.1
cxxfilt,afl-2.51b,invalid,binutils2.28,45.3
cxxfilt,afl-2.52b,invalid,binutils2.28,49.1
cxxfilt,afl-rb,invalid,binutils2.28,49.1
cxxfilt,aflfast,invalid,binutils2.28,49.1
cxxfilt,aflgo,invalid,binutils2.28,49.1
nm,afl-1.94b,invalid,binutils2.28,17.1
nm,afl-2.40b,invalid,binutils2.28,16.3
nm,afl-2.49b,invalid,binutils2.28,17.1
nm,afl-2.51b,invalid,binutils2.28,15.2
nm,afl-2.52b,invalid,binutils2.28,18.2
nm,afl-rb,invalid,binutils2.28,18.2
nm,aflfast,invalid,binutils2.28,18.2
nm,aflgo,invalid,binutils2.28,18.2
objdump,afl-1.94b,invalid,binutils2.28,20.3
objdump,afl-2.40b,invalid,binutils2.28,21.8
objdump,afl-2.49b,invalid,binutils2.28,14
objdump,afl-2.51b,invalid,binutils2.28,22.3
objdump,afl-2.52b,invalid,binutils2.28,21.2
objdump,afl-rb,invalid,binutils2.28,21.6
objdump,aflfast,invalid,binutils2.28,23.6
objdump,aflgo,invalid,binutils2.28,23.6
readelf,afl-1.94b,invalid,binutils2.28,1.5
readelf,afl-2.40b,invalid,binutils2.28,1.5
readelf,afl-2.49b,invalid,binutils2.28,1.5
readelf,afl-2.51b,invalid,binutils2.28,1.5
readelf,afl-2.52b,invalid,binutils2.28,1.5
readelf,afl-rb,invalid,binutils2.28,1.5
readelf,aflfast,invalid,binutils2.28,1.5
readelf,aflgo,invalid,binutils2.28,1.5
size,afl-1.94b,invalid,binutils2.28,24.5
size,afl-2.40b,invalid,binutils2.28,18.2
size,afl-2.49b,invalid,binutils2.28,24.5
size,afl-2.51b,invalid,binutils2.28,24.5
size,afl-2.52b,invalid,binutils2.28,24.5
size,afl-rb,invalid,binutils2.28,24.5
size,aflfast,invalid,binutils2.28,24.5
size,aflgo,invalid,binutils2.28,24.5
strings,afl-1.94b,invalid,binutils2.28,31.7
strings,afl-2.40b,invalid,binutils2.28,31.7
strings,afl-2.49b,invalid,binutils2.28,31.7
strings,afl-2.51b,invalid,binutils2.28,31.7
strings,afl-2.52b,invalid,binutils2.28,31.7
strings,afl-rb,invalid,binutils2.28,31.7
strings,aflfast,invalid,binutils2.28,31.7
strings,aflgo,invalid,binutils2.28,31.7
cxxfilt,afl-1.94b,invalid,binutils2.32,46.3
cxxfilt,afl-2.40b,invalid,binutils2.32,46.3
cxxfilt,afl-2.49b,invalid,binutils2.32,46.3
cxxfilt,afl-2.51b,invalid,binutils2.32,46.3
cxxfilt,afl-2.52b,invalid,binutils2.32,48.1
cxxfilt,afl-rb,invalid,binutils2.32,48.1
cxxfilt,aflfast,invalid,binutils2.32,48.1
cxxfilt,aflgo,invalid,binutils2.32,48.1
nm,afl-1.94b,invalid,binutils2.32,15.5
nm,afl-2.40b,invalid,binutils2.32,15
nm,afl-2.49b,invalid,binutils2.32,18.9
nm,afl-2.51b,invalid,binutils2.32,19.3
nm,afl-2.52b,invalid,binutils2.32,18.9
nm,afl-rb,invalid,binutils2.32,16.6
nm,aflfast,invalid,binutils2.32,18.9
nm,aflgo,invalid,binutils2.32,18.9
objdump,afl-1.94b,invalid,binutils2.32,9.1
