program,fuzzer,seed,version,paths_1h,paths_2h,paths_3h,paths_4h,paths_5h,paths_6h
cxxfilt,afl-1.94b,invalid,binutils2.26,0.247449,0.373904,0.453945,0.529674,0.584279,0.644058
cxxfilt,afl-2.40b,invalid,binutils2.26,0.472625,0.676103,0.850122,0.889496,0.889496,0.889496
cxxfilt,afl-2.49b,invalid,binutils2.26,0.453082,0.659146,0.821526,0.964075,0.964075,0.964075
cxxfilt,afl-2.51b,invalid,binutils2.26,0.479667,0.676678,0.836758,0.900848,0.901566,0.914356
cxxfilt,afl-2.52b,invalid,binutils2.26,0.484696,0.692485,0.871964,0.94252,0.949993,1
cxxfilt,afl-rb,invalid,binutils2.26,0.633281,0.811611,0.890214,0.919816,0.999713,1.02371
cxxfilt,aflfast,invalid,binutils2.26,0.408536,0.553097,0.686162,0.755568,0.808881,0.894094
cxxfilt,aflgo,invalid,binutils2.26,0.492025,0.738612,0.875701,0.875701,0.907171,0.981032
nm,afl-1.94b,invalid,binutils2.26,0.0727423,0.195288,0.293036,0.3354,0.380244,0.425294
nm,afl-2.40b,invalid,binutils2.26,0.249432,0.495557,0.646001,0.789419,0.920645,1.01302
nm,afl-2.49b,invalid,binutils2.26,0.231246,0.520769,0.711097,0.845009,0.971688,1.12379
nm,afl-2.51b,invalid,binutils2.26,0.303575,0.473032,0.611903,0.746642,0.847696,0.944823
nm,afl-2.52b,invalid,binutils2.26,0.311221,0.49535,0.666047,0.803058,0.891093,1
nm,afl-rb,invalid,binutils2.26,0.281256,0.423435,0.516016,0.602604,0.667287,0.715024
nm,aflfast,invalid,binutils2.26,0.408555,0.761934,1.13949,1.52139,1.81897,1.86691
nm,aflgo,invalid,binutils2.26,0.312875,0.524489,0.661087,0.841083,0.955156,1.06386
objdump,afl-1.94b,invalid,binutils2.26,0.161007,0.245708,0.540633,0.665395,0.743609,0.775277
objdump,afl-2.40b,invalid,binutils2.26,0.477299,0.681419,0.814575,0.939718,1.0702,1.0992
objdump,afl-2.49b,invalid,binutils2.26,0.499046,0.652804,0.769172,0.913773,1.05685,1.10797
objdump,afl-2.51b,invalid,binutils2.26,0.461656,0.656238,0.750477,0.829836,0.909576,0.964517
objdump,afl-2.52b,invalid,binutils2.26,0.463564,0.580313,0.701641,0.738649,0.877146,1
objdump,afl-rb,invalid,binutils2.26,0.670736,0.974056,1.03243,1.12743,1.20488,1.23426
objdump,aflfast,invalid,binutils2.26,0.497138,0.653186,0.794353,0.88058,0.958794,1.02137
objdump,aflgo,invalid,binutils2.26,0.504388,0.677222,0.801984,0.96032,1.03357,1.05799
readelf,afl-1.94b,invalid,binutils2.26,0.941176471,0.941176471,0.941176471,0.941176471,0.941176471,0.941176471
readelf,afl-2.40b,invalid,binutils2.26,1,1,1,1,1,1
readelf,afl-2.49b,invalid,binutils2.26,1.058823529,1.058823529,1.058823529,1.058823529,1.058823529,1.058823529
readelf,afl-2.51b,invalid,binutils2.26,1,1,1,1,1,1
readelf,afl-2.52b,invalid,binutils2.26,0.941176471,1,1,1,1,1
readelf,afl-rb,invalid,binutils2.26,1,1,1,1,1,1
readelf,aflfast,invalid,binutils2.26,0.823529412,0.823529412,0.823529412,0.823529412,0.823529412,0.823529412
readelf,aflgo,invalid,binutils2.26,0.941176471,0.941176471,0.941176471,0.941176471,0.941176471,0.941176471
size,afl-1.94b,invalid,binutils2.26,0.387222947,0.67535854,0.790091265,0.970013038,1.074315515,1.162972621
size,afl-2.40b,invalid,binutils2.26,1.052151239,1.348109518,1.488917862,1.578878748,1.60756193,1.615384615
size,afl-2.49b,invalid,binutils2.26,0.874837027,1.307692308,1.49934811,1.735332464,1.831812256,1.906127771
size,afl-2.51b,invalid,binutils2.26,1.026075619,1.423728814,1.580182529,1.955671447,2.142112125,2.306388527
