program,fuzzer,seed,version,paths_1h,paths_2h,paths_3h,paths_4h,paths_5h,paths_6h
cxxfilt,afl-1.94b,invalid,binutils2.26,1722,2602,3159,3686,4066,4482
cxxfilt,afl-2.40b,invalid,binutils2.26,3289,4705,5916,6190,6190,6190
cxxfilt,afl-2.49b,invalid,binutils2.26,3153,4587,5717,6709,6709,6709
cxxfilt,afl-2.51b,invalid,binutils2.26,3338,4709,5823,6269,6274,6363
cxxfilt,afl-2.52b,invalid,binutils2.26,3373,4819,6068,6559,6611,6959
cxxfilt,afl-rb,invalid,binutils2.26,4407,5648,6195,6401,6957,7124
cxxfilt,aflfast,invalid,binutils2.26,2843,3849,4775,5258,5629,6222
cxxfilt,aflgo,invalid,binutils2.26,3424,5140,6094,6094,6313,6827
nm,afl-1.94b,invalid,binutils2.26,352,945,1418,1623,1840,2058
nm,afl-2.40b,invalid,binutils2.26,1207,2398,3126,3820,4455,4902
nm,afl-2.49b,invalid,binutils2.26,1119,2520,3441,4089,4702,5438
nm,afl-2.51b,invalid,binutils2.26,1469,2289,2961,3613,4102,4572
nm,afl-2.52b,invalid,binutils2.26,1506,2397,3223,3886,4312,4839
nm,afl-rb,invalid,binutils2.26,1361,2049,2497,2916,3229,3460
nm,aflfast,invalid,binutils2.26,1977,3687,5514,7362,8802,9034
nm,aflgo,invalid,binutils2.26,1514,2538,3199,4070,4622,5148
objdump,afl-1.94b,invalid,binutils2.26,422,644,1417,1744,1949,2032
objdump,afl-2.40b,invalid,binutils2.26,1251,1786,2135,2463,2805,2881
objdump,afl-2.49b,invalid,binutils2.26,1308,1711,2016,2395,2770,2904
objdump,afl-2.51b,invalid,binutils2.26,1210,1720,1967,2175,2384,2528
objdump,afl-2.52b,invalid,binutils2.26,1215,1521,1839,1936,2299,2621
objdump,afl-rb,invalid,binutils2.26,1758,2553,2706,2955,3158,3235
objdump,aflfast,invalid,binutils2.26,1303,1712,2082,2308,2513,2677
objdump,aflgo,invalid,binutils2.26,1322,1775,2102,2517,2709,2773
readelf,afl-1.94b,invalid,binutils2.26,16,16,16,16,16,16
readelf,afl-2.40b,invalid,binutils2.26,17,17,17,17,17,17
readelf,afl-2.49b,invalid,binutils2.26,18,18,18,18,18,18
readelf,afl-2.51b,invalid,binutils2.26,17,17,17,17,17,17
readelf,afl-2.52b,invalid,binutils2.26,16,17,17,17,17,17
readelf,afl-rb,invalid,binutils2.26,17,17,17,17,17,17
readelf,aflfast,invalid,binutils2.26,14,14,14,14,14,14
readelf,aflgo,invalid,binutils2.26,16,16,16,16,16,16
size,afl-1.94b,invalid,binutils2.26,297,518,606,744,824,892
size,afl-2.40b,invalid,binutils2.26,807,1034,1142,1211,1233,1239
size,afl-2.49b,invalid,binutils2.26,671,1003,1150,1331,1405,1462
size,afl-2.51b,invalid,binutils2.26,787,1092,1212,1500,1643,1769
size,afl-2.52b,invalid,binutils2.26,341,523,592,698,744,767
size,afl-rb,invalid,binutils2.26,1041,1558,1808,1986,2014,2147
size,aflfast,invalid,binutils2.26,729,812,878,915,919,961
size,aflgo,invalid,binutils2.26,760,1107,1147,1287,1346,1365
strings,afl-1.94b,invalid,binutils2.26,77,77,77,77,77,77
strings,afl-2.40b,invalid,binutils2.26,74,76,76,76,76,76
strings,afl-2.49b,invalid,binutils2.26,74,74,74,74,74,74
